Timestamp;G19 KWh-Dif;G26 kWh-Diff;MISFAT 3 Compresseur 3 KWh-Dif;MISFAT 3 G39 KWh-Diff;MISFAT 3 D18 KWh-Diff;MISFAT 3 G10 KWh-Diff;MISFAT 3 TGBT N°3 KWh-Diff;MISFAT 3 Eclairage 3-2 KWh-Dif
2025-01-25 15:00:00 CEST;"40;84375";"32;875";"0;0625";"1;46875";"28;0625";"7;8740234375";"552;5";0,0kWh
2025-01-25 16:00:00 CEST;"71;28125";32,0kWh;"0;0625";"1;625";"7;375";"7;90234375";"534;5";0,0kWh
2025-01-25 17:00:00 CEST;"59;46875";32,0kWh;0,0kWh;"1;6875";0,0kWh;"7;90380859375";"518;5";0,0kWh
2025-01-25 18:00:00 CEST;"75;78125";"28;375";"0;0625";"0;0625";0,0kWh;"8;0302734375";"514;5";0,0kWh
2025-01-25 19:00:00 CEST;"74;28125";"28;375";0,0kWh;0,0kWh;0,0kWh;"7;943359375";"502;5";0,0kWh
2025-01-25 20:00:00 CEST;"64;03125";"27;625";"0;0625";0,0kWh;"0;25";"6;650390625";"462;5";0,0kWh
2025-01-25 21:00:00 CEST;"5;0625";"8;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-01-25 22:00:00 CEST;"4;71875";"8;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-01-25 23:00:00 CEST;"0;015625";"0;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"40;5";0,0kWh
2025-01-26 00:00:00 CEST;"4;796875";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-01-26 01:00:00 CEST;"5;046875";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"116;5";0,0kWh
2025-01-26 02:00:00 CEST;"5;046875";"8;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-01-26 03:00:00 CEST;"4;828125";"8;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-01-26 04:00:00 CEST;"4;84375";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"112;5";0,0kWh
2025-01-26 05:00:00 CEST;"4;859375";"8;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"112;5";0,0kWh
2025-01-26 06:00:00 CEST;"4;953125";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-01-26 07:00:00 CEST;"5;265625";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"136;5";0,0kWh
2025-01-26 08:00:00 CEST;"4;84375";"9;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"142;5";0,0kWh
2025-01-26 09:00:00 CEST;"4;828125";"8;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2025-01-26 10:00:00 CEST;"4;765625";"8;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"136;5";0,0kWh
2025-01-26 11:00:00 CEST;"4;921875";"8;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-01-26 12:00:00 CEST;"3;84375";"7;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-01-26 13:00:00 CEST;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh
2025-01-26 14:00:00 CEST;"3;703125";"6;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"106;5";0,0kWh
2025-01-26 15:00:00 CEST;"4;640625";"8;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"120;5";0,0kWh
2025-01-26 16:00:00 CEST;"4;6875";"8;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-01-26 17:00:00 CEST;"4;640625";"8;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-01-26 18:00:00 CEST;"4;671875";"8;75";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"116;5";0,0kWh
2025-01-26 19:00:00 CEST;"4;90625";"8;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-01-26 20:00:00 CEST;"4;984375";"8;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"116;5";0,0kWh
2025-01-26 21:00:00 CEST;"4;8125";9,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-01-26 22:00:00 CEST;"4;78125";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-01-26 23:00:00 CEST;"0;96875";2,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"38;5";0,0kWh
2025-01-27 00:00:00 CEST;"5;171875";"8;625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-01-27 01:00:00 CEST;"5;15625";"8;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"112;5";0,0kWh
2025-01-27 02:00:00 CEST;"4;859375";"9;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"116;5";0,0kWh
2025-01-27 03:00:00 CEST;"4;90625";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-01-27 04:00:00 CEST;"5;25";"9;125";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"114;5";0,0kWh
2025-01-27 05:00:00 CEST;"5;296875";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2025-01-27 06:00:00 CEST;"27;203125";"39;125";"36;6875";"5;96875";0,0kWh;"6;2705078125";"442;5";0,0kWh
2025-01-27 07:00:00 CEST;"94;6875";"45;5";"52;8125";"41;96875";"42;875";"8;70361328125";"678;5";0,0kWh
2025-01-27 08:00:00 CEST;"92;65625";"47;125";"62;75";"42;40625";"37;5";"8;23876953125";"744;5";0,0kWh
2025-01-27 09:00:00 CEST;"85;21875";"46;875";"60;5625";"42;65625";"36;5";"8;09033203125";"726;5";0,0kWh
2025-01-27 10:00:00 CEST;"93;765625";"47;125";"58;75";"42;59375";"33;5625";"8;06298828125";"706;5";0,0kWh
2025-01-27 11:00:00 CEST;"86;6875";"46;625";"61;4375";"42;75";"33;0625";"7;861328125";"734;5";0,0kWh
2025-01-27 12:00:00 CEST;"73;453125";"46;25";"57;875";"40;84375";"33;875";"7;8203125";"724;5";0,0kWh
2025-01-27 13:00:00 CEST;"65;484375";"44;875";"57;5";"42;96875";"31;5625";"8;15625";"700;5";0,0kWh
2025-01-27 14:00:00 CEST;"74;78125";"44;75";"57;4375";"42;875";"31;9375";"7;8876953125";"720;5";0,0kWh
2025-01-27 15:00:00 CEST;"75;21875";"50;75";"57;6875";"42;53125";32,0kWh;"7;82666015625";"716;5";0,0kWh
2025-01-27 16:00:00 CEST;"75;25";"49;625";"54;125";"42;0625";32,0kWh;"7;67919921875";"700;5";0,0kWh
2025-01-27 17:00:00 CEST;"75;765625";"44;5";"43;5";"42;1875";"30;6875";"7;63134765625";"612;5";0,0kWh
2025-01-27 18:00:00 CEST;"75;1875";"43;625";"42;75";"42;5";"23;3125";"7;771484375";"584;5";0,0kWh
2025-01-27 19:00:00 CEST;"75;34375";"45;625";"41;25";"42;46875";0,0kWh;"7;712890625";"526;5";0,0kWh
2025-01-27 20:00:00 CEST;"73;078125";"43;75";"40;125";"31;0625";"43;5";"6;61328125";"530;5";0,0kWh
2025-01-27 21:00:00 CEST;"71;953125";"39;125";"34;75";"0;0625";"38;9375";"0;00048828125";"516;5";0,0kWh
2025-01-27 22:00:00 CEST;"71;546875";"36;25";"37;125";0,0kWh;"37;3125";0,0kWh;"518;5";0,0kWh
2025-01-27 23:00:00 CEST;"11;34375";"9;375";"9;1875";0,0kWh;"8;8125";"0;00048828125";"104;5";0,0kWh
2025-01-28 00:00:00 CEST;"77;328125";"35;875";"39;75";0,0kWh;"31;3125";0,0kWh;"522;5";0,0kWh
2025-01-28 01:00:00 CEST;"72;734375";"35;375";"38;1875";0,0kWh;"39;875";"0;00048828125";"538;5";0,0kWh
2025-01-28 02:00:00 CEST;"77;125";"35;5";"39;875";0,0kWh;"38;875";0,0kWh;"534;5";0,0kWh
2025-01-28 03:00:00 CEST;"74;046875";30,0kWh;"39;6875";0,0kWh;"35;8125";"0;00048828125";"538;5";0,0kWh
2025-01-28 04:00:00 CEST;"72;9375";"30;75";"39;75";0,0kWh;"31;9375";"0;00048828125";"548;5";0,0kWh
2025-01-28 05:00:00 CEST;"65;90625";"30;125";"37;5";0,0kWh;"33;125";0,0kWh;"520;5";0,0kWh
2025-01-28 06:00:00 CEST;"19;515625";"47;5";"28;4375";"10;21875";0,0kWh;"8;15185546875";"494;5";0,0kWh
2025-01-28 07:00:00 CEST;"78;984375";"92;125";"49;75";9,0kWh;"42;8125";"7;98828125";"728;5";0,0kWh
2025-01-28 08:00:00 CEST;"48;046875";"87;25";"56;5";"1;71875";"35;75";"7;88671875";"788;5";0,0kWh
2025-01-28 09:00:00 CEST;"54;1875";"84;875";"56;625";"1;78125";"33;6875";"7;8916015625";"764;5";0,0kWh
2025-01-28 10:00:00 CEST;"74;578125";"79;125";"53;25";"1;71875";"30;625";"7;87353515625";"716;5";0,0kWh
2025-01-28 11:00:00 CEST;"62;046875";"88;625";"56;8125";"1;6875";"32;0625";"7;767578125";"770;5";0,0kWh
2025-01-28 12:00:00 CEST;"75;90625";"54;875";"51;1875";"2;09375";"31;25";"7;7880859375";"716;5";0,0kWh
2025-01-28 13:00:00 CEST;"75;71875";"37;625";58,0kWh;"14;34375";"35;9375";"7;76220703125";"708;5";0,0kWh
2025-01-28 14:00:00 CEST;"75;484375";60,0kWh;"54;6875";"4;96875";"36;6875";"7;74609375";"712;5";0,0kWh
2025-01-28 15:00:00 CEST;"58;078125";"90;5";"53;9375";"1;65625";"31;375";"7;74462890625";"726;5";0,0kWh
2025-01-28 16:00:00 CEST;"26;296875";89,0kWh;"50;9375";"1;625";"31;6875";"7;86962890625";"704;5";0,0kWh
2025-01-28 17:00:00 CEST;"27;671875";"91;25";"40;875";"1;65625";"22;875";"7;84521484375";"674;5";0,0kWh
2025-01-28 18:00:00 CEST;"40;125";"86;875";"41;9375";"1;78125";"39;1875";"7;85107421875";"672;5";0,0kWh
2025-01-28 19:00:00 CEST;"76;796875";"86;5";"42;3125";"1;71875";"38;5";"7;91455078125";"666;5";0,0kWh
2025-01-28 20:00:00 CEST;"68;890625";"91;5";"40;0625";"19;59375";"32;6875";"7;07177734375";"640;5";0,0kWh
2025-01-28 21:00:00 CEST;"5;015625";"94;25";"37;0625";"41;5";"32;3125";0,0kWh;"618;5";0,0kWh
2025-01-28 22:00:00 CEST;"5;0625";82,0kWh;"39;875";"40;78125";"35;5";0,0kWh;"606;5";0,0kWh
2025-01-28 23:00:00 CEST;"1;1875";"12;875";"10;5625";"11;5";"4;5";0,0kWh;"116;5";0,0kWh
2025-01-29 00:00:00 CEST;"4;859375";"76;375";"38;875";"39;875";"42;3125";0,0kWh;"594;5";0,0kWh
2025-01-29 01:00:00 CEST;"5;046875";"76;25";"38;75";"39;625";"28;3125";0,0kWh;"566;5";0,0kWh
2025-01-29 02:00:00 CEST;"5;046875";"75;125";"37;4375";"39;8125";"38;75";0,0kWh;"558;5";0,0kWh
2025-01-29 03:00:00 CEST;"5;1875";"61;125";"38;5";"39;5625";"31;875";0,0kWh;"572;5";0,0kWh
2025-01-29 04:00:00 CEST;"5;15625";"68;75";"38;25";"39;71875";"35;4375";0,0kWh;"552;5";0,0kWh
2025-01-29 05:00:00 CEST;"5;171875";"68;25";"36;5";"39;34375";"25;8125";0,0kWh;"530;5";0,0kWh
2025-01-29 06:00:00 CEST;"40;484375";"39;75";"27;4375";"1;78125";0,0kWh;0,0kWh;"462;5";0,0kWh
2025-01-29 07:00:00 CEST;"94;546875";"94;375";"47;4375";"41;25";"37;0625";0,0kWh;"736;5";0,0kWh
2025-01-29 08:00:00 CEST;"91;65625";"86;25";"57;5";"41;71875";"34;25";0,0kWh;"794;5";0,0kWh
2025-01-29 09:00:00 CEST;"81;5625";45,0kWh;"54;9375";"41;65625";"38;375";0,0kWh;"760;5";0,0kWh
2025-01-29 10:00:00 CEST;"64;4375";45,0kWh;"52;5625";"35;5";"36;4375";0,0kWh;"710;5";0,0kWh
2025-01-29 11:00:00 CEST;"25;65625";"46;25";"51;5";"24;28125";"34;9375";0,0kWh;"758;5";0,0kWh
2025-01-29 12:00:00 CEST;"39;4375";"55;875";"49;5";"41;5625";"38;5";0,0kWh;"712;5";0,0kWh
2025-01-29 13:00:00 CEST;"76;84375";"64;75";"50;4375";"41;1875";"30;1875";0,0kWh;"746;5";0,0kWh
2025-01-29 14:00:00 CEST;"76;53125";44,0kWh;"46;6875";"41;8125";"27;8125";"0;00048828125";"666;5";0,0kWh
2025-01-29 15:00:00 CEST;"75;796875";"43;125";"48;25";"41;09375";"27;8125";"0;00048828125";"688;5";0,0kWh
2025-01-29 16:00:00 CEST;"58;140625";41,0kWh;"46;4375";"38;15625";"35;5625";"4;28173828125";"678;5";0,0kWh
2025-01-29 17:00:00 CEST;"76;71875";"45;125";"44;625";"38;78125";"40;5";"7;98046875";"634;5";0,0kWh
2025-01-29 18:00:00 CEST;"76;625";"43;5";"44;0625";"42;15625";"31;375";"7;87060546875";"616;5";0,0kWh
2025-01-29 19:00:00 CEST;"75;65625";"43;625";"44;3125";"42;0625";"38;6875";"4;3359375";"628;5";0,0kWh
2025-01-29 20:00:00 CEST;"67;78125";"44;5";"41;875";"22;46875";"32;0625";0,0kWh;"582;5";0,0kWh
2025-01-29 21:00:00 CEST;"5;390625";45,0kWh;"36;625";"1;6875";"40;6875";0,0kWh;"540;5";0,0kWh
2025-01-29 22:00:00 CEST;"5;328125";"91;5";"39;25";"1;75";"29;0625";0,0kWh;"570;5";0,0kWh
2025-01-29 23:00:00 CEST;"1;78125";"29;25";"12;625";"0;59375";"8;9375";0,0kWh;"124;5";0,0kWh
2025-01-30 00:00:00 CEST;"5;90625";"90;25";"39;1875";"14;625";"46;6875";0,0kWh;"592;5";0,0kWh
2025-01-30 01:00:00 CEST;"5;0625";"79;5";"37;125";"38;34375";"34;125";0,0kWh;"572;5";0,0kWh
2025-01-30 02:00:00 CEST;"5;6875";"84;5";"37;4375";"39;5625";"44;1875";0,0kWh;"570;5";0,0kWh
2025-01-30 03:00:00 CEST;"5;859375";73,0kWh;"38;5";"34;625";"42;9375";0,0kWh;"566;5";0,0kWh
2025-01-30 04:00:00 CEST;"5;109375";"73;375";"37;5625";"37;78125";"39;3125";0,0kWh;"560;5";0,0kWh
2025-01-30 05:00:00 CEST;"5;796875";"66;875";"37;5";"33;75";30,0kWh;"0;0009765625";"564;5";0,0kWh
2025-01-30 06:00:00 CEST;"42;015625";"56;625";"27;5";"10;375";0,0kWh;0,0kWh;"508;5";0,0kWh
2025-01-30 07:00:00 CEST;"87;59375";"93;75";"43;5625";"38;8125";"46;6875";"9;9072265625";"732;5";0,0kWh
2025-01-30 08:00:00 CEST;"76;859375";"95;125";"51;1875";"38;9375";"36;375";"8;0576171875";"776;5";0,0kWh
2025-01-30 09:00:00 CEST;"77;390625";"95;875";"51;4375";"38;90625";"33;25";"7;986328125";"752;5";0,0kWh
2025-01-30 10:00:00 CEST;"72;515625";86,0kWh;"48;0625";"38;96875";"35;4375";"7;869140625";"784;5";0,0kWh
2025-01-30 11:00:00 CEST;"71;96875";"91;125";"47;9375";"37;21875";"32;9375";"7;7841796875";"766;5";0,0kWh
2025-01-30 12:00:00 CEST;"75;390625";"82;5";"48;8125";"39;75";"35;8125";"7;7958984375";"738;5";0,0kWh
2025-01-30 13:00:00 CEST;"76;28125";"85;75";"49;875";"40;15625";"29;9375";"7;6953125";"736;5";0,0kWh
2025-01-30 14:00:00 CEST;"70;59375";"39;25";"50;0625";"39;5";"33;6875";"7;1298828125";"708;5";0,0kWh
2025-01-30 15:00:00 CEST;"41;0625";"91;75";"46;75";"39;4375";"36;375";"6;10546875";"732;5";0,0kWh
2025-01-30 16:00:00 CEST;"35;140625";"85;875";"41;625";"38;84375";"34;375";"6;13671875";"652;5";0,0kWh
2025-01-30 17:00:00 CEST;"77;9375";"91;625";"41;3125";"38;875";"33;5625";"6;9150390625";"630;5";0,0kWh
2025-01-30 18:00:00 CEST;"72;25";"63;75";"40;0625";"38;96875";"30;8125";"7;740234375";"548;5";0,0kWh
2025-01-30 19:00:00 CEST;"76;0625";"64;25";"39;0625";"39;15625";"30;3125";"7;8115234375";"544;5";0,0kWh
2025-01-30 20:00:00 CEST;"70;6875";"94;5";"37;1875";"16;34375";"31;4375";"6;1826171875";"594;5";0,0kWh
2025-01-30 21:00:00 CEST;"4;15625";"92;25";"32;0625";"1;65625";"36;625";0,0kWh;"544;5";0,0kWh
2025-01-30 22:00:00 CEST;"4;640625";"92;375";"32;9375";"1;4375";43,0kWh;0,0kWh;"552;5";0,0kWh
2025-01-30 23:00:00 CEST;"2;15625";"32;875";"12;5625";"0;53125";"13;9375";0,0kWh;"118;5";0,0kWh
2025-01-31 00:00:00 CEST;"4;609375";"87;75";33,0kWh;"1;4375";"36;75";"0;0009765625";"532;5";0,0kWh
2025-01-31 01:00:00 CEST;"5;015625";"80;875";"31;5625";"1;4375";"33;375";0,0kWh;"516;5";0,0kWh
2025-01-31 02:00:00 CEST;"4;625";"91;625";"31;5625";"1;46875";36,0kWh;0,0kWh;"536;5";0,0kWh
2025-01-31 03:00:00 CEST;"5;25";"90;375";33,0kWh;"1;4375";"41;1875";"0;0009765625";"532;5";0,0kWh
2025-01-31 04:00:00 CEST;"4;6875";"91;25";"32;6875";"1;4375";"40;0625";0,0kWh;"520;5";0,0kWh
2025-01-31 05:00:00 CEST;"4;703125";"86;25";"31;125";"1;5";"30;3125";0,0kWh;"506;5";0,0kWh
2025-01-31 06:00:00 CEST;"35;234375";57,0kWh;"26;1875";"1;5625";0,0kWh;0,0kWh;"512;5";0,0kWh
2025-01-31 07:00:00 CEST;"96;359375";"90;625";"41;5";"37;53125";"44;625";0,0kWh;"728;5";0,0kWh
2025-01-31 08:00:00 CEST;"52;59375";"90;375";"46;8125";"38;4375";"30;625";0,0kWh;"724;5";0,0kWh
2025-01-31 09:00:00 CEST;"83;015625";"90;875";"46;5625";"14;8125";"41;9375";0,0kWh;"768;5";0,0kWh
2025-01-31 10:00:00 CEST;"91;765625";"91;625";"45;875";"34;6875";"37;4375";"7;763671875";"726;5";0,0kWh
2025-01-31 11:00:00 CEST;"87;15625";"76;75";"46;8125";"38;65625";"33;0625";"8;2431640625";"694;5";0,0kWh
2025-01-31 12:00:00 CEST;"88;296875";"91;875";"45;0625";"38;90625";"31;6875";"8;1640625";"690;5";0,0kWh
2025-01-31 13:00:00 CEST;"87;9375";90,0kWh;"39;6875";39,0kWh;"31;375";"8;212890625";"630;5";0,0kWh
2025-01-31 14:00:00 CEST;"72;390625";85,0kWh;"38;875";"32;125";"31;3125";"7;7138671875";"628;5";0,0kWh
2025-01-31 15:00:00 CEST;"33;09375";"72;75";"36;9375";"22;25";"2;6875";"7;859375";"570;5";0,0kWh
2025-01-31 16:00:00 CEST;"22;296875";"33;125";"33;6875";"31;15625";0,0kWh;"8;0654296875";"506;5";0,0kWh
2025-01-31 17:00:00 CEST;"7;453125";"42;25";"27;3125";"4;53125";0,0kWh;"7;8056640625";"450;5";0,0kWh
2025-01-31 18:00:00 CEST;"0;3125";"28;625";"21;75";0,0kWh;0,0kWh;"7;853515625";"374;5";0,0kWh
2025-01-31 19:00:00 CEST;"0;3125";"25;5";"20;1875";0,0kWh;0,0kWh;"8;44921875";"340;5";0,0kWh
2025-01-31 20:00:00 CEST;"0;3125";"9;625";"19;3125";0,0kWh;0,0kWh;"4;744140625";"236;5";0,0kWh
2025-01-31 21:00:00 CEST;"0;3125";"4;75";"6;9375";0,0kWh;0,0kWh;0,0kWh;"160;5";0,0kWh
2025-01-31 22:00:00 CEST;"0;296875";5,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-01-31 23:00:00 CEST;"0;125";2,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"46;5";0,0kWh
2025-02-01 00:00:00 CEST;"0;3125";"5;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"146;5";0,0kWh
2025-02-01 01:00:00 CEST;"0;296875";"5;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2025-02-01 02:00:00 CEST;"0;296875";"5;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2025-02-01 03:00:00 CEST;"0;3125";"4;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-02-01 04:00:00 CEST;"0;296875";"5;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"136;5";0,0kWh
2025-02-01 05:00:00 CEST;"0;296875";"5;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"136;5";0,0kWh
2025-02-01 06:00:00 CEST;"0;3125";5,0kWh;"13;1875";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2025-02-01 07:00:00 CEST;"0;3125";"6;125";"10;875";0,0kWh;0,0kWh;0,0kWh;"164;5";0,0kWh
2025-02-01 08:00:00 CEST;"0;3125";"6;625";"0;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2025-02-01 09:00:00 CEST;"35;390625";"5;875";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"238;5";0,0kWh
2025-02-01 10:00:00 CEST;"65;875";"0;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"212;5";0,0kWh
2025-02-01 11:00:00 CEST;"32;8125";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"204;5";0,0kWh
2025-02-01 12:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"206;5";0,0kWh
2025-02-01 13:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"198;5";0,0kWh
2025-02-01 14:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"148;5";0,0kWh
2025-02-01 15:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-02-01 16:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"130;5";0,0kWh
2025-02-01 17:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"132;5";0,0kWh
2025-02-01 18:00:00 CEST;"0;265625";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"116;5";0,0kWh
2025-02-01 19:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-02-01 20:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-02-01 21:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"108;5";0,0kWh
2025-02-01 22:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"102;5";0,0kWh
2025-02-01 23:00:00 CEST;"0;109375";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"38;5";0,0kWh
2025-02-02 00:00:00 CEST;"0;265625";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"100;5";0,0kWh
2025-02-02 01:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"98;5";0,0kWh
2025-02-02 02:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"98;5";0,0kWh
2025-02-02 03:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"96;5";0,0kWh
2025-02-02 04:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"96;5";0,0kWh
2025-02-02 05:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"96;5";0,0kWh
2025-02-02 06:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"92;5";0,0kWh
2025-02-02 07:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"108;5";0,0kWh
2025-02-02 08:00:00 CEST;"0;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"124;5";0,0kWh
2025-02-02 09:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"140;5";0,0kWh
2025-02-02 10:00:00 CEST;"0;25";0,0kWh;"0;0625";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2025-02-02 11:00:00 CEST;"16;65625";"18;875";"0;0625";0,0kWh;0,0kWh;0,0kWh;"170;5";0,0kWh
2025-02-02 12:00:00 CEST;"9;890625";"19;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"164;5";0,0kWh
2025-02-02 13:00:00 CEST;"8;6875";"17;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2025-02-02 14:00:00 CEST;"9;40625";"16;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"156;5";0,0kWh
2025-02-02 15:00:00 CEST;"8;8125";15,0kWh;0,0kWh;0,0kWh;0,0kWh;0,0kWh;"152;5";0,0kWh
2025-02-02 16:00:00 CEST;"8;546875";"10;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"144;5";0,0kWh
2025-02-02 17:00:00 CEST;"8;921875";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-02-02 18:00:00 CEST;"9;140625";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"126;5";0,0kWh
2025-02-02 19:00:00 CEST;"8;96875";"9;125";"16;1875";0,0kWh;0,0kWh;0,0kWh;"138;5";0,0kWh
2025-02-02 20:00:00 CEST;"8;8125";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-02-02 21:00:00 CEST;"9;4375";"9;125";"0;0625";0,0kWh;0,0kWh;0,0kWh;"122;5";0,0kWh
2025-02-02 22:00:00 CEST;"9;171875";"9;375";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"118;5";0,0kWh
2025-02-02 23:00:00 CEST;"4;421875";"4;75";"0;0625";0,0kWh;0,0kWh;0,0kWh;"42;5";0,0kWh
2025-02-03 00:00:00 CEST;"8;75";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"112;5";0,0kWh
2025-02-03 01:00:00 CEST;"9;328125";"9;5";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-02-03 02:00:00 CEST;"9;5625";"9;25";"0;0625";0,0kWh;0,0kWh;0,0kWh;"112;5";0,0kWh
2025-02-03 03:00:00 CEST;"9;359375";"9;375";"0;0625";0,0kWh;0,0kWh;0,0kWh;"110;5";0,0kWh
2025-02-03 04:00:00 CEST;"9;25";"9;25";0,0kWh;0,0kWh;0,0kWh;0,0kWh;"108;5";0,0kWh
2025-02-03 05:00:00 CEST;"9;5625";"9;5";"0;0625";0,0kWh;0,0kWh;0,0kWh;"134;5";0,0kWh
2025-02-03 06:00:00 CEST;"9;3125";"50;25";"26;1875";"9;4375";0,0kWh;0,0kWh;"386;5";0,0kWh
